year	damage
1950	201000000
1951	1528250000
1952	152900000
1953	984310000
1954	887000000
1955	877000000
1956	25000000
1957	175000000
1958	530100000
1959	698200000
1960	1264041000
1961	480400000
1962	1529000000
1963	1719090000
1964	3120350000
1965	2527618000
1966	2868831000
1967	1523826000
1968	1022238000
1969	2390299000
1970	3076594000
1971	1688589000
1972	4090413000
1973	2407043000
1974	4064944000
1975	3281365000
1976	14240626000
1977	10187668000
1978	6265521000
1979	4542933000
1980	32870960000
1981	13919519000
1982	11466393000
1983	16756964000
1984	9004957000
1985	17126100000
1986	14117912000
1987	14778065000
1988	26383612000
1989	27426740000
1990	48629822000
1991	38743461000
1992	54998163000
1993	50992889000
1994	71133574000
1995	154967039000
1996	43327243000
1997	40258446000
1998	84131040000
1999	112247854000
2000	46586436000
2001	27074439000
2002	52078152000
2003	69839150000
2004	136378448000
2005	214205351000
2006	34104949000
2007	74420257000
2008	190849247000
2009	46776393000
2010	132194096000
2011	364093168000
2012	156692232000
2013	119484189000
2014	97769314000
2015	84120138000
2016	147781165000
2017	144108620000
2018	107771602000
